point,encoder,dataset,kind,C,n_test,imbalance,method,acc,f1,ece,aurc,param
codebert/diversevul,codebert,diversevul,frozen_probe,2,2000,16.09,gate,0.941,0.4848,0.0076,0.0225,"c=0.6,lambda=0.2"
codebert/diversevul,codebert,diversevul,frozen_probe,2,2000,16.09,temp_gate,0.941,0.4848,0.0052,0.0225,"T=1.05,c=0.6,lambda=0.2"
graphcodebert/diversevul,graphcodebert,diversevul,frozen_probe,2,2000,16.09,base,0.9415,0.4849,0.013,0.0219,
graphcodebert/diversevul,graphcodebert,diversevul,frozen_probe,2,2000,16.09,temp,0.9415,0.4849,0.0124,0.0219,T=1.046
graphcodebert/diversevul,graphcodebert,diversevul,frozen_probe,2,2000,16.09,logit_adj,0.9195,0.5822,0.0837,0.0242,tau=0.5
graphcodebert/diversevul,graphcodebert,diversevul,frozen_probe,2,2000,16.09,knn,0.942,0.4935,0.0155,0.0224,lambda=0.7
graphcodebert/diversevul,graphcodebert,diversevul,frozen_probe,2,2000,16.09,gate,0.942,0.4935,0.0126,0.0218,"c=0.7,lambda=0.6"
graphcodebert/diversevul,graphcodebert,diversevul,frozen_probe,2,2000,16.09,temp_gate,0.942,0.4935,0.0119,0.0218,"T=1.05,c=0.7,lambda=0.6"
unixcoder/diversevul,unixcoder,diversevul,frozen_probe,2,2000,16.09,base,0.928,0.5256,0.0288,0.0318,
unixcoder/diversevul,unixcoder,diversevul,frozen_probe,2,2000,16.09,temp,0.928,0.5256,0.0225,0.0318,T=1.278
unixcoder/diversevul,unixcoder,diversevul,frozen_probe,2,2000,16.09,logit_adj,0.866,0.5314,0.0157,0.0443,tau=0.5
unixcoder/diversevul,unixcoder,diversevul,frozen_probe,2,2000,16.09,knn,0.936,0.5058,0.0263,0.0325,lambda=0.6
unixcoder/diversevul,unixcoder,diversevul,frozen_probe,2,2000,16.09,gate,0.936,0.5058,0.0283,0.0313,"c=0.9,lambda=0.6"
unixcoder/diversevul,unixcoder,diversevul,frozen_probe,2,2000,16.09,temp_gate,0.9375,0.5139,0.0253,0.0314,"T=1.28,c=0.7,lambda=0.6"
codet5p/diversevul,codet5p,diversevul,frozen_probe,2,2000,16.09,base,0.9415,0.4849,0.0062,0.0273,
codet5p/diversevul,codet5p,diversevul,frozen_probe,2,2000,16.09,temp,0.9415,0.4849,0.006,0.0273,T=0.999
codet5p/diversevul,codet5p,diversevul,frozen_probe,2,2000,16.09,logit_adj,0.865,0.5637,0.1454,0.0474,tau=0.75
codet5p/diversevul,codet5p,diversevul,frozen_probe,2,2000,16.09,knn,0.9415,0.4849,0.0096,0.0263,lambda=0.7
codet5p/diversevul,codet5p,diversevul,frozen_probe,2,2000,16.09,gate,0.9415,0.4849,0.0062,0.0273,"c=0.5,lambda=0.0"
codet5p/diversevul,codet5p,diversevul,frozen_probe,2,2000,16.09,temp_gate,0.9415,0.4849,0.006,0.0273,"T=1.00,c=0.5,lambda=0.0"
codebert/bigclone,codebert,bigclone,frozen_probe,2,2000,1.0,base,0.858,0.858,0.018,0.0449,
codebert/bigclone,codebert,bigclone,frozen_probe,2,2000,1.0,temp,0.858,0.858,0.0133,0.0449,T=1.136
codebert/bigclone,codebert,bigclone,frozen_probe,2,2000,1.0,logit_adj,0.858,0.858,0.018,0.0449,tau=0.0
codebert/bigclone,codebert,bigclone,frozen_probe,2,2000,1.0,knn,0.8625,0.8625,0.0416,0.045,lambda=0.8
codebert/bigclone,codebert,bigclone,frozen_probe,2,2000,1.0,gate,0.866,0.866,0.0203,0.0554,"c=0.6,lambda=0.0"
codebert/bigclone,codebert,bigclone,frozen_probe,2,2000,1.0,temp_gate,0.867,0.867,0.0115,0.0575,"T=1.14,c=0.6,lambda=0.0"
graphcodebert/bigclone,graphcodebert,bigclone,frozen_probe,2,2000,1.0,base,0.8695,0.8694,0.0278,0.0295,
graphcodebert/bigclone,graphcodebert,bigclone,frozen_probe,2,2000,1.0,temp,0.8695,0.8694,0.0226,0.0295,T=1.221
graphcodebert/bigclone,graphcodebert,bigclone,frozen_probe,2,2000,1.0,logit_adj,0.8695,0.8694,0.0278,0.0295,tau=0.0
graphcodebert/bigclone,graphcodebert,bigclone,frozen_probe,2,2000,1.0,knn,0.8865,0.8865,0.0354,0.0267,lambda=0.6
graphcodebert/bigclone,graphcodebert,bigclone,frozen_probe,2,2000,1.0,gate,0.887,0.887,0.0196,0.0268,"c=0.8,lambda=0.6"
graphcodebert/bigclone,graphcodebert,bigclone,frozen_probe,2,2000,1.0,temp_gate,0.883,0.883,0.0265,0.0254,"T=1.22,c=0.9,lambda=0.6"
unixcoder/bigclone,unixcoder,bigclone,frozen_probe,2,2000,1.0,base,0.8065,0.8065,0.1703,0.086,
unixcoder/bigclone,unixcoder,bigclone,frozen_probe,2,2000,1.0,temp,0.8065,0.8065,0.0238,0.085,T=10.000
unixcoder/bigclone,unixcoder,bigclone,frozen_probe,2,2000,1.0,logit_adj,0.8065,0.8065,0.1703,0.086,tau=0.0
unixcoder/bigclone,unixcoder,bigclone,frozen_probe,2,2000,1.0,knn,0.848,0.8479,0.0354,0.0528,lambda=0.3
unixcoder/bigclone,unixcoder,bigclone,frozen_probe,2,2000,1.0,gate,0.8465,0.8465,0.0412,0.0559,"c=1.0,lambda=0.4"
unixcoder/bigclone,unixcoder,bigclone,frozen_probe,2,2000,1.0,temp_gate,0.837,0.8369,0.0221,0.0582,"T=10.00,c=0.9,lambda=0.2"
codet5p/bigclone,codet5p,bigclone,frozen_probe,2,2000,1.0,base,0.814,0.8138,0.0179,0.0741,
codet5p/bigclone,codet5p,bigclone,frozen_probe,2,2000,1.0,temp,0.814,0.8138,0.0198,0.0741,T=1.024
codet5p/bigclone,codet5p,bigclone,frozen_probe,2,2000,1.0,logit_adj,0.814,0.8138,0.0179,0.0741,tau=0.0
codet5p/bigclone,codet5p,bigclone,frozen_probe,2,2000,1.0,knn,0.847,0.847,0.0375,0.0503,lambda=0.5
codet5p/bigclone,codet5p,bigclone,frozen_probe,2,2000,1.0,gate,0.8465,0.8465,0.0433,0.0559,"c=0.9,lambda=0.6"
codet5p/bigclone,codet5p,bigclone,frozen_probe,2,2000,1.0,temp_gate,0.8465,0.8465,0.0449,0.0552,"T=1.02,c=0.9,lambda=0.6"
